timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736100224435,458,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-8,,true,,1911,674,10,10,null,458,2001,278
1736100226543,395,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,970,480,10,10,https://restful-booker.herokuapp.com/booking,395,0,293
1736100226586,359,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-9,text,true,,968,478,10,10,https://restful-booker.herokuapp.com/booking,359,0,266
1736100226632,423,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,text,true,,971,481,10,10,https://restful-booker.herokuapp.com/booking,423,0,319
1736100226985,99,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-10,text,true,,939,196,10,10,https://restful-booker.herokuapp.com/booking/1414,99,0,0
1736100224583,481,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-10,,true,,1911,674,10,10,null,481,2020,283
1736100227070,100,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,938,196,10,10,https://restful-booker.herokuapp.com/booking/1425,100,0,0
1736100225145,499,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,,true,,1909,673,10,10,null,499,1527,296
1736100227377,93,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-5,text,true,,940,196,10,10,https://restful-booker.herokuapp.com/booking/1417,93,0,0
1736100223582,459,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-5,,true,,1913,675,10,10,null,459,3429,271
1736100227643,106,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,text,true,,938,196,10,10,https://restful-booker.herokuapp.com/booking/1435,105,0,0
1736100224982,529,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,,true,,1909,677,10,10,null,528,2238,319
1736100227658,98,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-6,text,true,,939,196,10,10,https://restful-booker.herokuapp.com/booking/1429,98,0,0
1736100225647,483,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-6,,true,,1911,678,10,10,null,483,1626,290
1736100227618,378,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-4,text,true,,968,482,10,10,https://restful-booker.herokuapp.com/booking,378,0,281
1736100228057,97,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,937,196,10,10,https://restful-booker.herokuapp.com/booking/1432,97,0,0
1736100225425,492,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,,true,,1907,676,10,10,null,492,2237,293
1736100228093,105,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-9,text,true,,935,196,10,10,https://restful-booker.herokuapp.com/booking/1433,105,0,0
1736100225622,464,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-9,,true,,1903,674,10,10,null,464,2112,266
1736100228153,434,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-7,text,true,,965,479,10,10,https://restful-booker.herokuapp.com/booking,434,0,313
1736100228252,369,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-10,text,true,,965,479,10,10,https://restful-booker.herokuapp.com/booking,369,0,278
1736100228234,401,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,963,481,10,10,https://restful-booker.herokuapp.com/booking,401,0,301
1736100228237,401,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-8,text,true,,964,482,10,10,https://restful-booker.herokuapp.com/booking,401,0,300
1736100229024,99,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-4,text,true,,935,196,10,10,https://restful-booker.herokuapp.com/booking/1444,99,0,0
1736100226772,477,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-4,,true,,1903,678,10,10,null,477,1874,281
1736100228793,380,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-6,text,true,,960,478,10,10,https://restful-booker.herokuapp.com/booking,380,0,282
1736100228896,358,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,text,true,,959,477,10,10,https://restful-booker.herokuapp.com/booking,358,0,267
1736100229088,361,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,961,479,10,10,https://restful-booker.herokuapp.com/booking,361,0,271
1736100229261,359,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-5,text,true,,961,479,10,10,https://restful-booker.herokuapp.com/booking,359,0,269
1736100229444,366,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-4,text,true,,959,477,10,10,https://restful-booker.herokuapp.com/booking,366,0,273
1736100229490,360,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-9,text,true,,963,481,10,10,https://restful-booker.herokuapp.com/booking,360,0,270
1736100229782,106,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-8,text,true,,935,196,10,10,https://restful-booker.herokuapp.com/booking/1456,106,0,0
1736100226894,507,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-8,,true,,1899,678,10,10,null,507,2487,300
1736100229885,90,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-10,text,true,,932,196,10,10,https://restful-booker.herokuapp.com/booking/1455,90,0,0
1736100227084,459,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-10,,true,,1897,675,10,10,null,459,2432,278
1736100230016,111,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-7,text,true,,932,196,10,10,https://restful-booker.herokuapp.com/booking/1454,111,0,0
1736100226765,545,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-7,,true,,1897,675,10,10,null,545,2817,313
