timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736105147626,419,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-22,text,true,,968,478,50,50,https://restful-booker.herokuapp.com/booking,419,0,305
1736105148006,103,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-30,text,true,,939,196,50,50,https://restful-booker.herokuapp.com/booking/7329,103,0,0
1736105144281,489,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-30,,true,,1899,674,50,50,null,489,3339,292
1736105147743,386,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-35,text,true,,967,477,50,50,https://restful-booker.herokuapp.com/booking,386,0,292
1736105147682,449,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-42,text,true,,969,479,50,50,https://restful-booker.herokuapp.com/booking,449,0,347
1736105148084,106,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-16,text,true,,939,196,50,50,https://restful-booker.herokuapp.com/booking/7349,106,0,0
1736105146405,478,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-16,,true,,1907,674,50,50,null,478,1307,278
1736105148152,91,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-26,text,true,,938,196,50,50,https://restful-booker.herokuapp.com/booking/7326,91,0,0
1736105144514,453,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-26,,true,,1897,673,50,50,null,453,3276,270
1736105147859,389,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-33,text,true,,969,479,50,50,https://restful-booker.herokuapp.com/booking,389,0,296
1736105148157,96,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-25,text,true,,940,196,50,50,https://restful-booker.herokuapp.com/booking/7356,96,0,0
1736105146235,456,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-25,,true,,1909,675,50,50,null,456,1563,257
1736105148166,115,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-42,text,true,,940,196,50,50,https://restful-booker.herokuapp.com/booking/7371,115,0,0
1736105146874,564,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-42,,true,,1909,675,50,50,null,564,843,347
1736105147902,391,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-46,text,true,,965,475,50,50,https://restful-booker.herokuapp.com/booking,391,0,288
1736105147946,370,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-43,text,true,,967,477,50,50,https://restful-booker.herokuapp.com/booking,370,0,273
1736105147925,393,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-34,text,true,,968,478,50,50,https://restful-booker.herokuapp.com/booking,393,0,294
1736105148050,353,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-27,text,true,,968,478,50,50,https://restful-booker.herokuapp.com/booking,353,0,266
1736105148051,379,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-14,text,true,,969,479,50,50,https://restful-booker.herokuapp.com/booking,379,0,280
1736105148097,360,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,text,true,,967,477,50,50,https://restful-booker.herokuapp.com/booking,360,0,272
1736105148407,87,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-13,text,true,,939,196,50,50,https://restful-booker.herokuapp.com/booking/7352,87,0,0
1736105148393,101,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-19,text,true,,940,196,50,50,https://restful-booker.herokuapp.com/booking/7358,101,0,0
1736105146087,508,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-19,,true,,1909,675,50,50,null,508,1899,295
1736105146075,452,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-13,,true,,1907,674,50,50,null,452,1967,278
1736105148443,92,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-7,text,true,,938,196,50,50,https://restful-booker.herokuapp.com/booking/7331,92,0,0
